stop_id,latitude,stop_name,longitude,ticketzone,routeussp
19874,-37.87623,Syndal Railway Station (Glen Waverley),145.14978,2,Glen Waverley
19875,-37.875255,Mount Waverley Railway Station (Mount Waverley),145.128056,2,Glen Waverley
19876,-37.755518,Lilydale Railway Station (Lilydale),145.34771,2,Lilydale
19877,-37.784749,Mooroolbark Railway Station (Mooroolbark),145.312402,2,Lilydale
19878,-37.795437,Croydon Railway Station (Croydon),145.280598,2,Lilydale
19879,-37.811968,Ringwood East Railway Station (Ringwood East),145.250191,2,Lilydale
19880,-38.080614,Pakenham Railway Station (Pakenham),145.486379,2,Pakenham
19881,-38.066146,Officer Railway Station (Officer),145.410987,2,Pakenham
19882,-38.050831,Beaconsfield Railway Station (Beaconsfield),145.366074,2,Pakenham
19883,-38.040408,Berwick Railway Station (Berwick),145.345726,2,Pakenham
19884,-38.027809,Narre Warren Railway Station (Narre Warren),145.303969,2,Pakenham
19885,-38.01774,Hallam Railway Station (Hallam),145.269777,2,Pakenham
19886,-38.099537,Cranbourne Railway Station (Cranbourne),145.280599,2,Cranbourne
19887,-38.079,Merinda Park Railway Station (Cranbourne North),145.263511,2,Cranbourne
19888,-37.989968,Dandenong Railway Station (Dandenong),145.209725,2,Pakenham
19889,-37.978255,Yarraman Railway Station (Noble Park),145.1916,2,Pakenham
19890,-37.966628,Noble Park Railway Station (Noble Park),145.176325,2,Pakenham
19891,-37.956505,Sandown Park Railway Station (Springvale),145.162826,2,Pakenham
19892,-37.825894,East Camberwell Railway Station (Camberwell),145.06819,1,Lilydale
19893,-37.824485,Canterbury Railway Station (Canterbury),145.081224,"1,2",Lilydale
19894,-37.8243,Chatham Railway Station (Surrey Hills),145.088648,"1,2",Lilydale
19895,-37.824148,Surrey Hills Railway Station (Surrey Hills),145.098775,"1,2",Lilydale
19896,-37.819427,Mont Albert Railway Station (Mont Albert),145.10553,"1,2",Lilydale
19897,-37.82078,Laburnum Railway Station (Blackburn),145.140703,2,Lilydale
