Business address,Industry (ANZSIC4) description,Industry Category,Seating type,Trading name,Latitude,Longitude
"Part Ground , 43-51 Queen Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Queen St Espresso,-37.817738270,144.961614309
"Part Ground , 388-394 Flinders Lane MELBOURNE 3000",Takeaway Food Services,Takeaway Food Services,Seats - Indoor,Saluministi,-37.817990636,144.961058189
"Tenancy 8, 1 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,O-Bento,-37.817296590,144.962791083
"Tenancy 3, 332-340 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Vapiano,-37.817296590,144.962791083
"Tenancy 2, 357 Collins Street MELBOURNE 3000",Takeaway Food Services,Takeaway Food Services,Seats - Indoor,Cafe Mesh,-37.817296590,144.962791083
"Part Ground , 367 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Cafenatics 367,-37.817281846,144.962442463
354 Collins Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Overdraft Cafe,-37.817281846,144.962442463
"Ground , 55 Elizabeth Street MELBOURNE 3000",Bakery Product Manufacturing (Non-factory based),Bakery,Seats - Indoor,Breadtop,-37.816972395,144.964129971
"Shop 2, Ground , 50 Queen Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Shuji Sushi,-37.817585827,144.962188572
303 Collins Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Cafe On Collins,-37.816627717,144.963823607
13 Collins Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Deanery,-37.816839190,144.963557579
10 Flinders Lane MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Bistro Du Peuple,-37.817185342,144.963914020
306 Flinders Lane MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Yum Yum Dumplings,-37.817185342,144.963914020
12 Flinders Lane MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Robot Sushi & Bar,-37.817185342,144.963914020
Flinders Lane MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Cafe Vicolino,-37.816644519,144.965474399
14 Flinders Lane MELBOURNE 3000,Takeaway Food Services,Takeaway Food Services,Seats - Indoor,The Soup Place,-37.816602896,144.965596540
8-10 Flinders Lane MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Cafe Issus,-37.816602896,144.965596540
16 Flinders Lane MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Eurolane Cafe,-37.816602896,144.965596540
12 Flinders Lane MELBOURNE 3000,Takeaway Food Services,Takeaway Food Services,Seats - Outdoor,Yen Sushi Noodle,-37.816602896,144.965596540
"Shop 6, Ground , 227 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Three Drops Espresso,-37.815840386,144.966326159
"Ground , 245 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Ganache Chocolate Lounge,-37.816061838,144.965829508
"Shop , Abutting 271 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Lindt Chocolat Cafe,-37.816547812,144.964973513
"Shop 2, Ground , 234 Manchester Lane MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Kuaizi Bar,-37.816421623,144.966199763
"Shop 15, 150 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Yak Italian Kitchen & Bar,-37.815451518,144.968761527
180 Collins Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Supernormal,-37.815647017,144.968312816
Part 205 Collins Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Lobby Lounge,-37.815811230,144.967425200
Part 207 Collins Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,La Vita Buona 'The Good Life' Cellar Bar Deli,-37.815811230,144.967425200
Part 205 Collins Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Allegro Restaurant,-37.815811230,144.967425200
"Shop 3, 207 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Three Below,-37.815811230,144.967425200
"Shop 4, 207 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Caboose Canteen,-37.815811230,144.967425200
81 Collins Street MELBOURNE 3000,Clubs (Hospitality),Others,Seats - Indoor,Alexandra Club,-37.814408404,144.971178011
"Part UprGround , 121-131 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Collins Kitchen,-37.815115652,144.969807966
43 Exhibition Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Blue Bag,-37.815016880,144.971575497
"Level 1, 25-45 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Sofi's Lounge,-37.814305181,144.972625573
"Shop 66, 45 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Little Flinders,-37.814305181,144.972625573
"Shop 51, 45 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Thr1ve,-37.814305181,144.972625573
"Shop 50, 45 Collins Street MELBOURNE 3000",Takeaway Food Services,Takeaway Food Services,Seats - Indoor,Roll'd Collins Place,-37.814305181,144.972625573
"Shop 54, 45 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Kenzan Japanese Restaurant,-37.814305181,144.972625573
"Ground , 618A Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Pallet Espresso,-37.818675211,144.954350757
"Ground , 98 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Bingo Wrap,-37.818675211,144.954350757
"Ground , 618C Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Chick-In,-37.818675211,144.954350757
"Ground , 622 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Gloria Jean's Coffees,-37.818675211,144.954350757
"Shop 1, 600 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Cafe Eurasia,-37.818504090,144.954943626
