Business address,Industry (ANZSIC4) description,Industry Category,Seating type,Trading name,Latitude,Longitude
222 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Little Lygon Bar & Grill,-37.801918265,144.967198927
Part 220 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Irmas Bar & Charcoal Grill,-37.801918265,144.967198927
222 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Little Lygon Restaurant,-37.801916846,144.967189488
"Ground , 220A Lygon Street CARLTON 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Mondi Cafe,-37.801916846,144.967189488
"Part Ground 0, 220-0 Lygon Street CARLTON 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Kafe World,-37.801916846,144.967189489
"Tenancy 103D, 604 Swanston Street CARLTON VIC 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Delect A Bowl,-37.801896159,144.964333218
"Tenancy 103D, 604 Swanston Street CARLTON VIC 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Eat Ngon,-37.801896159,144.964333218
196 Pelham Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Pearl Sandwich Bar,-37.801858686,144.959244416
196 Pelham Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Keiser Cafe,-37.801857260,144.959234931
196 Pelham Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Pearls Cafe & Sandwich Bar,-37.801857259,144.959234931
167 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Kokoblack,-37.801786617,144.966455346
167 Lygon Street CARLTON VIC 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Koko Black Carlton,-37.801785195,144.966445903
232 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Sale E Pepe,-37.801760357,144.967229224
169 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Soko Noodle Cafe,-37.801719117,144.966467212
"Ground , 224 Pelham Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Blue Print Eatery & Bar,-37.801696242,144.958337384
234-236 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Via Veneto,-37.801695199,144.967237147
"Ground , 171 Lygon Street CARLTON 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Golden Lobster,-37.801658826,144.966477809
"Level 1, 171 Lygon Street CARLTON 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Simplex Systems Pty Ltd,-37.801658826,144.966477809
171 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Popol Nah,-37.801657402,144.966468366
238 Lygon Street CARLTON VIC 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,La Spaghettata Pty Ltd,-37.801625535,144.967228664
173 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Tica-Tera's Pizza Restaurant,-37.801606973,144.966486924
235 Rathdowne Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Samuels on the Park,-37.801585929,144.969383345
"Part Ground , 156-180 Berkeley Street CARLTON 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Cafe  Commercio,-37.801557387,144.958820101
148-150 Errol Street NORTH MELBOURNE VIC 3051,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Mörk Chocolate Brew House,-37.801544369,144.950189936
148-150 Errol Street NORTH MELBOURNE 3051,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Mork Chocolate,-37.801543900,144.950199758
177-179 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Cafe Notturno,-37.801447571,144.966505249
Part 5-17 Flemington Road NORTH MELBOURNE 3051,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Old Melbourne Cafe,-37.801435968,144.955846911
"Shop 1, 5-17 Flemington Road NORTH MELBOURNE VIC 3051",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Gai Wong,-37.801435967,144.955846911
"Unit 5, 252 Lygon Street CARLTON 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Villa Romana,-37.801375921,144.967345108
"Unit 5, 252 Lygon Street CARLTON VIC 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Cairo Nights Restaurant & Bar,-37.801374499,144.967335669
154 Lincoln Square North CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Bouverie Deli,-37.801337509,144.962740580
154 Lincoln Square North CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Marceiihadid,-37.801337509,144.962740580
"Unit 2, 164 Cardigan Street CARLTON VIC 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Carlton Grill & Kebab House,-37.801326222,144.965626177
"Unit 3, 164 Cardigan Street CARLTON 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Don Tojo,-37.801326222,144.965626177
644-658 Swanston Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Magic Arena Internet Cafe,-37.801320399,144.964291855
644 Swanston Street CARLTON VIC 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Pondok Laguna,-37.801318972,144.964282398
650 Swanston Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Black Ball,-37.801318972,144.964282398
650 Swanston Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Carlton Black Ball,-37.801318972,144.964282398
650 Swanston Street CARLTON VIC 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Blackball Carlton,-37.801318972,144.964282398
254 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Bellisimo Gelateria,-37.801238385,144.967160978
254 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Thai Influence Noodle Bar,-37.801238385,144.967160978
189 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Boccelle,-37.801191828,144.966497522
189 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Jin's Chinese Resturant,-37.801191828,144.966497522
189 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Newland Pty Ltd,-37.801191828,144.966497522
189 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Zingarella,-37.801190401,144.966488077
218-224 Drummond Street CARLTON VIC 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Leonardo's Pizza Palace,-37.801162069,144.968597695
191 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Nyonya Restaurant,-37.801143743,144.966506078
191 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Taste of Asia,-37.801142316,144.966496633
258 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Gurkhas,-37.801141422,144.967177423
258 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Nadalon Fusion,-37.801139998,144.967167983
258 Lygon Street CARLTON VIC 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Palm Arabian,-37.801139998,144.967167983
89 Grattan Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Lucky Cup,-37.801078718,144.966223633
199 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Seasons Provedore,-37.800967135,144.966659033
201-203 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Borsari Ristorante,-37.800898593,144.966681872
111-113 Grattan Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Ma Xiao Er Spicy Hot Pot Dips,-37.800816950,144.965769868
111-113 Grattan Street CARLTON VIC 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Dragon hot pot,-37.800816950,144.965769868
117 Grattan Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Grattan Cafe,-37.800801427,144.965633488
117 Grattan Street CARLTON VIC 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Pepper alley,-37.800799996,144.965624037
117 Grattan Street CARLTON VIC 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Pepper Alley,-37.800799996,144.965624037
"Shop 3, Ground , 121-257 Cardigan Street CARLTON 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Coffee Bean & Tea Leaf,-37.800772159,144.965113527
"Shop 3, Ground , 121 Cardigan Street CARLTON 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Rakuzen Simple Japanese,-37.800770728,144.965104073
"Shop 3, Ground 121 Grattan Street CARLTON VIC 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Gyoza San,-37.800770728,144.965104073
27-35 Flemington Road NORTH MELBOURNE 3051,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Rice Cooker,-37.800677201,144.955177461
31 Blackwood Street NORTH MELBOURNE VIC 3051,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,North Melbourne Curry & Udon Bar,-37.800677201,144.955177461
31-35 Flemington Road NORTH MELBOURNE 3051,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Nemo,-37.800677201,144.955177461
680 Swanston Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Mark's Place,-37.800628779,144.964246354
"Shop 3, 743-751 Swanston Street CARLTON 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Lanzhou Beef Noodle Bar,-37.800620035,144.963642219
163 Grattan Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Le Cafe Francais,-37.800598370,144.963429734
48-50 Grattan Street CARLTON VIC 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Mr Pietro,-37.800597093,144.967880060
167 Grattan Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Mantra Lounge,-37.800583513,144.963297505
88 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Toki Japanese Restaurant,-37.800458947,144.966562309
88 Grattan Street CARLTON VIC 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Dumpling ADA,-37.800457515,144.966552862
88 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Ma's Dumpling Den,-37.800457515,144.966552862
215-217 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Il Gambero Restaurant,-37.800281994,144.966710284
323-327 Grattan Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Think Asia VCCC,-37.800185429,144.956671390
327 Grattan Street MELBOURNE VIC 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Sargon Food And Coffee,-37.800185429,144.956671390
327-327 Grattan Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Sargon Food And Co Cafe,-37.800185429,144.956671390
Part Level 7 305 Grattan Street MELBOURNE VIC 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Loft @ VCCC,-37.800185429,144.956671390
"Part Level 7, 305-327 Grattan Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Loft @ Vccc,-37.800185429,144.956671390
292 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Marcolin's @ 292,-37.800141262,144.967342095
292 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Minzaman Lebanese Restaurant,-37.800141262,144.967342095
292 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Viva Zapatas,-37.800141262,144.967342095
225 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Cafe Corretto,-37.800047047,144.966750428
294-296 Lygon Street CARLTON VIC 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Shinbashi Yakiniku,-37.800044908,144.967348547
237 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Inkari,-37.799868495,144.966780935
237 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Enoteca Oggi,-37.799867060,144.966771488
"Ground 0, 306-308 Lygon Street CARLTON 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,St. Charly,-37.799787001,144.967420357
"Unit 9, Ground 55 Flemington Road NORTH MELBOURNE VIC 3051",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Joe's Eatery,-37.799729603,144.954318084
316-318 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Copperwood,-37.799625813,144.967588938
"Ground , 253 Lygon Street CARLTON 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,La Parisienne Pates,-37.799542459,144.966826947
320 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Donnini's,-37.799541069,144.967507316
320 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Donnini's Pty Ltd,-37.799541069,144.967507316
320 Lygon Street CARLTON VIC 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Donnini's Restaurant,-37.799539634,144.967497873
255 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Universita Cafe,-37.799479028,144.966847478
255-257 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,University Cafe,-37.799479028,144.966847478
"Part Ground , 720 Swanston Street CARLTON 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Toothpicks Cafe,-37.799463047,144.964894125
65 Flemington Road NORTH MELBOURNE 3051,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Lanna Thai,-37.799366592,144.954016627
67 Flemington Road NORTH MELBOURNE 3051,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Mum Mum Asian Street Food,-37.799366592,144.954016627
"Shop 1, 56-62 Faraday Street CARLTON 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Cafe Italia,-37.799270369,144.967846784
56-62 University Street CARLTON VIC 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Mint & Co Restaurant & Lounge,-37.799268934,144.967837342
"Ground , 319-323 Rathdowne Street CARLTON 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,East Emperor,-37.799183482,144.969881529
334 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Key On The Wall Restaurant,-37.799165201,144.967502344
275 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Lygon Street Cafe,-37.799055197,144.966919892
275 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Salonica Gyros Bar,-37.799055197,144.966919892
275 Lygon Street CARLTON VIC 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Aperitivo Bar Ristorante,-37.799053755,144.966910444
748 Swanston Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Claypot Kingdom,-37.799000738,144.964765031
740 Swanston Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Sinbad's Cafe,-37.799000738,144.964765031
295-297 Drummond Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Doc,-37.798986623,144.968453712
221-229 Faraday Street CARLTON VIC 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Ms Frankie Carlton,-37.798861167,144.966726310
233 Faraday Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Geneveve Restaurant,-37.798826682,144.966411887
81 Flemington Road NORTH MELBOURNE 3051,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Cafe Vagabond,-37.798812919,144.953180689
81 Flemington Road NORTH MELBOURNE VIC 3051,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Avobowl,-37.798788180,144.953140127
81 Flemington Road NORTH MELBOURNE VIC 3051,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Bobby Dre's,-37.798788180,144.953140127
1F-0 Grattan Street PARKVILLE 3050,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Three Times a Day,-37.798633320,144.955800257
"Ground , 300 Grattan Street PARKVILLE 3050",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Cafe Kaz,-37.798633320,144.955800257
"Part Ground 0, 36-58 Macaulay Road NORTH MELBOURNE 3051",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Cafe Platinum,-37.798619560,144.942998286
"Ground , 172-174 Faraday Street CARLTON 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Carlton Wine Room,-37.798583879,144.968585665
91 Flemington Road NORTH MELBOURNE VIC 3051,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Jaspresso,-37.798564738,144.952857941
310-312 Drummond Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Mrs Jones,-37.798556785,144.969169828
310-312 Drummond Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,"Three, One, Two",-37.798556785,144.969169828
310-312 Drummond Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Embrasse Restaurant,-37.798555350,144.969160393
310-312 Drummond Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Town Mouse,-37.798555350,144.969160393
"Ground , 194-196 Faraday Street CARLTON 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Yo-Chi,-37.798437109,144.968015362
293 Lygon Street CARLTON VIC 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,King & Godfree,-37.798388952,144.967041693
297 Lygon Street CARLTON VIC 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Agostino,-37.798388952,144.967041693
313-315 Drummond Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Masani's Restaurant,-37.798381118,144.968501897
313-315 Drummond Street CARLTON VIC 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Masani Italian Dining & Terrace,-37.798379680,144.968492457
364 Lygon Street CARLTON VIC 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Sea salt kitchen,-37.798280281,144.967643706
303 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Tiamo Coffee,-37.798221186,144.967089958
"Shop 17, Part 368-384 Lygon Street CARLTON 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Gloria Jeans Coffee,-37.798041047,144.968157919
"Shop 19, 368-384 Lygon Street CARLTON 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Connoisseurs Cafe Bar,-37.798041047,144.968157919
"Shop 17-18, 368-384 Lygon Street CARLTON VIC 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Brunetti Carlton,-37.798039605,144.968148472
"Shop 17-18, 368-384 Lygon Street CARLTON VIC 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Brunetti Classico Carlton,-37.798039605,144.968148472
63 Elgin Street CARLTON VIC 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Two Snakes,-37.797897559,144.972418590
804-804 Swanston Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Nando's College Square,-37.797833672,144.965174216
802 Swanston Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Masters Of Burgerology,-37.797833672,144.965174216
804 Swanston Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Lucky Yu Kitchen,-37.797833672,144.965174216
802 Swanston Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Huoyan Shan,-37.797833672,144.965174216
802 Swanston Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Little Downtown Szechuan Cuisine,-37.797833672,144.965174216
109 Elgin Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Abla's Restaurant,-37.797811438,144.971043178
105 Elgin Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Cafe Aneka,-37.797777917,144.971196814
323 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Cicalata,-37.797774414,144.967125796
323 Lygon Street CARLTON VIC 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Milk The Cow Licensed Fromagerie,-37.797774413,144.967125796
Drummond Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Markov,-37.797712180,144.969280651
Rear 350-352 Drummond Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Moor's Head,-37.797710742,144.969271207
350-352 Drummond Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Markov Place,-37.797710742,144.969271208
329 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Browns Bakery,-37.797644801,144.967157602
329 Lygon Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Browns Bakery/Patiserie,-37.797644801,144.967157602
"Ground , 169 Elgin Street CARLTON 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Cafe Itch,-37.797580487,144.969294596
183 Elgin Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Red Rock,-37.797573744,144.968415828
171-175 Elgin Street CARLTON VIC 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Shaw Davey Slum,-37.797506063,144.968707462
Shop 77 Story Street PARKVILLE VIC 3052,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Bocca Foods,-37.797466961,144.956057707
"Shop 1, Ground , 189 Elgin Street CARLTON 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Ultimate Coffee Bar,-37.797465198,144.968218002
118-120 Elgin Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Gardenia's,-37.797238920,144.970864342
118-120 Elgin Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Longhorn Saloon,-37.797238920,144.970864342
156 Elgin Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Nora,-37.797139060,144.969401247
156 Elgin Street CARLTON VIC 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Bossa Nova Coffee And Friends,-37.797137621,144.969391798
162 Elgin Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Toofey's,-37.797127453,144.969289013
162 Elgin Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Cucina Di Esposito,-37.797126013,144.969279563
162 Elgin Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Esposito atToofey's,-37.797126012,144.969279562
114-116 Rathdowne Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Paris Go Bistro,-37.796957346,144.970894288
401 Rathdowne Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Shompen,-37.796921612,144.970321085
401 Rathdowne Street CARLTON VIC 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Chapati Melbourne,-37.796921612,144.970321085
401 Rathdowne Street CARLTON VIC 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Pagla,-37.796921612,144.970321085
"Gnd & Flr1 , 330 Cardigan Street CARLTON 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Comfortably Numb,-37.796859400,144.966387449
"Gnd & Flr1 , 330 Cardigan Street CARLTON 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Red Vibe,-37.796859400,144.966387449
Grattan Street PARKVILLE 3010,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Brunetti at the Potter,-37.796776921,144.961192767
"Ground , 156-292 Grattan Street PARKVILLE 3010",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Chowciao,-37.796776921,144.961192767
"Ground , 156-292 Grattan Street PARKVILLE 3010",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Potter,-37.796776921,144.961192767
Part 230 Grattan Street PARKVILLE 3010,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Lot#6 Cafe,-37.796776921,144.961192767
"Shop 33, Ground , 156-292 Grattan Street PARKVILLE 3010",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Oriental Chef,-37.796776921,144.961192767
"Part Basement , 230 Grattan Street PARKVILLE 3010",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Egg Sake Bistro,-37.796771696,144.961208744
"Part Ground , 230 Grattan Street PARKVILLE 3010",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Potter Espresso Bar,-37.796771696,144.961208744
"Shop 33, Ground , 230 Grattan Street PARKVILLE 3010",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Oriental House,-37.796771696,144.961208744
258 Elgin Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Cafe Sua Da,-37.796708499,144.965543359
258 Elgin Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Foo-Go's,-37.796708499,144.965543359
258 Elgin Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Foo Go's,-37.796707042,144.965533878
"Ground , 832 Swanston Street CARLTON 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Sushi Sai,-37.796681635,144.964909503
"Ground , 832 Swanston Street CARLTON 3053",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Brother Bull,-37.796680178,144.964900021
Ground 832 Swanston Street CARLTON VIC 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Dumpling & Chinese Cuisine,-37.796680178,144.964900021
415-421 Rathdowne Street CARLTON VIC 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Capitano,-37.796520433,144.970426872
161 Nicholson Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Chilli Kiss,-37.796390090,144.974810877
161-163 Nicholson Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Nicholsons Restaurant and Wine Den,-37.796390090,144.974810877
161-163 Nicholson Street CARLTON 3053,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Ethos Foodstore,-37.796388672,144.974801205
