stop_id,latitude,stop_name,longitude,ticketzone,routeussp
4145,-37.795629,17-Leicester St/Brunswick St (Fitzroy),144.978852,1,11
4146,-37.793625,18-Alexandra Pde/Brunswick St (Fitzroy),144.97919,1,11
4147,-37.790803,19-Newry St/Brunswick St (Fitzroy North),144.979665,1,11
4148,-37.788297,20-Fitzroy Bowls Club/Brunswick St (Fitzroy North),144.980096,1,11
4149,-37.785426,21-Alfred Cres/St Georges Rd (Fitzroy North),144.981912,1,11
4150,-37.78341,22-Scotchmer St/St Georges Rd (Fitzroy North),144.983647,1,11
4151,-37.781509,23-Park St/St Georges Rd (Fitzroy North),144.985277,1,11
4152,-37.780071,24-Holden St/St Georges Rd (Fitzroy North),144.98652,1,11
4153,-37.778019,25-Miller St/St Georges Rd (Fitzroy North),144.988301,1,11
4154,-37.775926,26-Clarke St/St Georges Rd (Northcote),144.989755,1,11
4155,-37.773815,27-Westbourne Gr/St Georges Rd (Northcote),144.990152,1,11
4156,-37.771571,28-Sumner Ave/St Georges Rd (Northcote),144.990633,1,11
4157,-37.768553,29-Arthurton Rd/St Georges Rd (Northcote),144.991237,1,11
4158,-37.765294,30-Gladstone Ave/St Georges Rd (Northcote),144.99195,1,11
4159,-37.762448,31-Bird Ave/St Georges Rd (Northcote),144.992594,1,11
4160,-37.758954,32-Normanby Ave/St Georges Rd (Thornbury),144.993256,1,11
4450,-37.805597,13-Gertrude St/Brunswick St (Fitzroy),144.977319,1,11
4451,-37.802703,14-King William St/Brunswick St (Fitzroy),144.977807,1,11
4452,-37.800538,15-St David St/Brunswick St (Fitzroy),144.978184,1,11
4453,-37.798166,16-Johnston St/Brunswick St (Fitzroy),144.97859,1,11
4454,-37.795461,17-Leicester St/Brunswick St (Fitzroy),144.979038,1,11
4455,-37.792927,18-Alexandra Pde/Brunswick St (Fitzroy North),144.979459,1,11
4456,-37.790537,19-Newry St/Brunswick St (Fitzroy North),144.979888,1,11
4457,-37.788174,20-Fitzroy Bowls Club/Brunswick St (Fitzroy North),144.980293,1,11
4458,-37.785385,21-Alfred Cres/St Georges Rd (Fitzroy North),144.982152,1,11
4460,-37.781735,23-Park St/St Georges Rd (Fitzroy North),144.985294,1,11
4461,-37.779879,24-Holden St/St Georges Rd (Fitzroy North),144.986888,1,11
4462,-37.777952,25-Miller St/St Georges Rd (Fitzroy North),144.988553,1,11
4463,-37.775739,26-Clarke St/St Georges Rd (Northcote),144.989862,1,11
4464,-37.773665,27-Westbourne Gr/St Georges Rd (Northcote),144.990293,1,11
4465,-37.771473,28-Sumner Ave/St Georges Rd (Northcote),144.990727,1,11
4466,-37.768145,29-Arthurton Rd/St Georges Rd (Northcote),144.9916,1,11
4468,-37.765198,30-Gladstone Ave/St Georges Rd (Northcote),144.992157,1,11
4469,-37.762628,31-Gadd St/St Georges Rd (Northcote),144.992567,1,11
4470,-37.758462,32-Normanby Ave/St Georges Rd (Thornbury),144.993508,1,11
4135,-37.860988,143-Fitzroy St/Park St (St Kilda),144.974453,1,12
4136,-37.859794,142-Mary St/Park St (St Kilda West),144.97319,1,12
4137,-37.857491,141-Deakin St/Park St (St Kilda West),144.970787,1,12
4445,-37.859477,142-Mary St/Park St (St Kilda West),144.973074,1,12
4446,-37.85718,141-Cowderoy St/Park St (St Kilda West),144.9705,1,12
4124,-37.830982,127-York St/Clarendon St (South Melbourne),144.959526,1,12
4125,-37.827223,126-City Rd/Clarendon St (South Melbourne),144.957869,1,12
4126,-37.837614,130a-Raglan St/Clarendon St (South Melbourne),144.962582,1,12
4127,-37.83952,130-Clarendon St/Albert Rd (South Melbourne),144.962871,1,12
4128,-37.840688,131-Melbourne Sports & Aquatic Centre/Albert Rd (Albert Park),144.961111,1,12
4129,-37.842451,132-Kerferd Rd/Canterbury Rd (Albert Park),144.959347,1,12
4130,-37.844069,133-Canterbury Rd/Mills St (Middle Park),144.960132,1,12
4131,-37.845597,134-Carter St/Mills St (Middle Park),144.958874,1,12
4132,-37.84741,135-Richardson St/Mills St (Middle Park),144.957403,1,12
4133,-37.849739,136-Mills St/Danks St (Middle Park),144.956077,1,12
4134,-37.851361,137-Harold St/Danks St (Middle Park),144.959181,1,12
4039,-37.833153,128-Dorcas St/Clarendon St (South Melbourne),144.960535,1,12
4084,-37.835434,129-Park St/Clarendon St (South Melbourne),144.961585,1,12
4138,-37.855757,140-Fraser St/Park St (St Kilda West),144.967425,1,12
4139,-37.854788,139-Langridge St/Patterson St (Middle Park),144.965587,1,12
4140,-37.853075,138-Armstrong St/Danks St (Middle Park),144.962452,1,12
4323,-37.830605,127-York St/Clarendon St (South Melbourne),144.959594,1,12
4324,-37.82806,126-City Rd/Clarendon St (South Melbourne),144.958346,1,12
4331,-37.832794,128-Dorcas St/Clarendon St (South Melbourne),144.960613,1,12
4332,-37.835029,129-Park St/Clarendon St (South Melbourne),144.961665,1,12
4333,-37.838943,130-Albert Rd/Clarendon St (South Melbourne),144.963364,1,12
4334,-37.840577,131-Melbourne Sports & Aquatic Centre/Albert Rd (Albert Park),144.961455,1,12
4384,-37.842283,132-Canterbury Rd/Albert Rd (Albert Park),144.959522,1,12
4440,-37.8445,133-Canterbury Rd/Mills St (Middle Park),144.960063,1,12
4441,-37.845664,134-Carter St/Mills St (Middle Park),144.959099,1,12
4442,-37.847227,135-Richardson St/Mills St (Middle Park),144.957806,1,12
4443,-37.849324,136-Danks St/Mills St (Middle Park),144.956077,1,12
4444,-37.851013,137-Harold St/Danks St (Middle Park),144.958872,1,12
4447,-37.855427,140-Fraser St/Patterson St (Middle Park),144.967127,1,12
4448,-37.854468,139-Langridge St/Patterson St (Middle Park),144.965301,1,12
4449,-37.852701,138-Armstrong St/Danks St (Middle Park),144.962167,1,12
20549,-37.84184,64-Power St/Glenferrie Rd (Kooyong),145.031967,1,16
20550,-37.840041,65-Warra St/Glenferrie Rd (Toorak),145.03214,1,16
20551,-37.839333,65-Kooyong Railway Station/Glenferrie Rd (Kooyong),145.032431,1,16
20552,-37.838494,66-Kooyong Tennis Centre/Glenferrie Rd (Toorak),145.032351,1,16
20553,-37.838336,66-Vision Australia/Glenferrie Rd (Kooyong),145.032617,1,16
20554,-37.835557,67-Gardiner Rd/Glenferrie Rd (Hawthorn),145.03294,1,16
20555,-37.835451,67-Gardiner Rd/Glenferrie Rd (Hawthorn),145.033091,1,16
20556,-37.833427,68-Callantina Rd/Glenferrie Rd (Hawthorn),145.033304,1,16
20523,-37.865836,48-Hawthorn Rd/Dandenong Rd (Malvern),145.02644,1,16
20524,-37.866057,48-Dandenong Rd/Glenferrie Rd (Malvern),145.02781,1,16
20525,-37.866057,52-Dandenong Rd/Glenferrie Rd (Malvern),145.02781,1,16
20526,-37.865264,53-Malvern Railway Station/Glenferrie Rd (Malvern),145.027774,1,16
20527,-37.86418,53-Malvern Railway Station/Glenferrie Rd (Malvern),145.028156,1,16
20528,-37.862478,54-Wattletree Rd/Glenferrie Rd (Malvern),145.028258,1,16
20529,-37.862158,54-Wattletree Rd/Glenferrie Rd (Malvern),145.028505,1,16
20530,-37.861148,55-Llaneast St/Glenferrie Rd (Malvern),145.028464,1,16
20531,-37.861034,55-Edsall St/Glenferrie Rd (Malvern),145.028671,1,16
20532,-37.859,56-Malvern Tram Depot/Glenferrie Rd (Malvern),145.028828,1,16
20533,-37.858841,56-Malvern Tram Depot/Glenferrie Rd (Malvern),145.029048,1,16
20534,-37.856825,57-High St/Glenferrie Rd (Malvern),145.029181,1,16
20535,-37.856496,57-High St/Glenferrie Rd (Malvern),145.029429,1,16
